Woi,CAPEX,id,Crusher1,microwave_choice,ore_sorter_choice,screen1_choice,part2_choice,Jb1,Screen2,crusher2_choice,Crusher2,part3_choice,primary_bm_BallMill,primary_bm_CS_sim,Screen1,HPGR,hpgr_fsp,hpgr_U
14.38152392,61.46080949,432,9,without,without,without,SAG,16.66967097,3,without,,Mono_Roll,27,0.7,,,,
6.612206476,121.8047685,684,10,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.68666213,,,,
6.612206476,121.8047685,829,10,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.68666213,,,,
6.612206476,123.8047685,361,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.68666213,,,,
6.632292698,123.8066938,748,9,with,without,without,CAHM,11.2088748,4,,,HPGR_Fines,27,0.68666213,,,,
6.638422459,128.6431591,788,9,with,with,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.68666213,,,,
6.652817739,121.8047685,780,10,with,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.69092156,,,,
6.65777756,123.7989926,532,9,with,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
6.65777756,123.7989926,570,9,with,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
6.65777756,123.7989926,601,9,with,without,without,CAHM,11.1216273,4,,,HPGR_Fines,27,0.7,,,,
6.664089908,130.9031955,529,2,with,without,without,CAHM,11.53809621,4,,,HPGR_Fines,27,0.697064243,,,,
6.666404133,128.6373832,398,9,with,with,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.7,,,,
6.701363819,123.7855156,518,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.725106336,,,,
6.701363819,123.7855156,565,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.725106336,,,,
6.701363819,123.7855156,610,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.725106336,,,,
6.712500357,123.7835903,513,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.729417423,,,,
6.755121491,123.7758891,630,9,with,without,without,CAHM,10.58718869,4,,,HPGR_Fines,27,0.745200627,,,,
6.785821677,121.8451997,633,10,with,without,without,CAHM,11.87892734,4,,,HPGR_Fines,27,0.68666213,,,,
6.785821677,123.8451997,672,9,with,without,without,CAHM,11.87892734,4,,,HPGR_Fines,27,0.68666213,,,,
6.809254582,123.8374985,346,9,with,without,without,CAHM,11.87892734,4,,,HPGR_Fines,27,0.7,,,,
